"year","geo_id","name","median_home_value","median_contract_rent","dataset"
2011,"40060","Richmond, VA Metro Area",227400,754,acs1
2012,"40060","Richmond, VA Metro Area",213900,780,acs1
2013,"40060","Richmond, VA Metro Area",207400,786,acs1
2014,"40060","Richmond, VA Metro Area",204800,803,acs1
2015,"40060","Richmond, VA Metro Area",213900,848,acs1
2016,"40060","Richmond, VA Metro Area",219700,863,acs1
2017,"40060","Richmond, VA Metro Area",227200,868,acs1
2018,"40060","Richmond, VA Metro Area",237900,896,acs1
2019,"40060","Richmond, VA Metro Area",246100,931,acs1
2011,"31180","Lubbock, TX Metro Area",107900,616,acs1
2012,"31180","Lubbock, TX Metro Area",108500,596,acs1
2013,"31180","Lubbock, TX Metro Area",108000,625,acs1
2014,"31180","Lubbock, TX Metro Area",104800,658,acs1
2015,"31180","Lubbock, TX Metro Area",111200,640,acs1
2016,"31180","Lubbock, TX Metro Area",120700,680,acs1
2017,"31180","Lubbock, TX Metro Area",131300,720,acs1
2018,"31180","Lubbock, TX Metro Area",135100,689,acs1
2019,"31180","Lubbock, TX Metro Area",146300,731,acs1
2011,"31300","Lumberton, NC Micro Area",63500,364,acs1
2012,"31300","Lumberton, NC Micro Area",70700,391,acs1
2013,"31300","Lumberton, NC Micro Area",71600,393,acs1
2014,"31300","Lumberton, NC Micro Area",63600,397,acs1
2015,"31300","Lumberton, NC Micro Area",71600,404,acs1
2016,"31300","Lumberton, NC Micro Area",78000,400,acs1
2017,"31300","Lumberton, NC Micro Area",74200,403,acs1
2018,"31300","Lumberton, NC Micro Area",77100,440,acs1
2019,"31300","Lumberton, NC Micro Area",78900,439,acs1
2011,"40340","Rochester, MN Metro Area",169600,652,acs1
2012,"40340","Rochester, MN Metro Area",167400,674,acs1
2013,"40340","Rochester, MN Metro Area",167100,671,acs1
2014,"40340","Rochester, MN Metro Area",166500,664,acs1
2015,"40340","Rochester, MN Metro Area",170200,730,acs1
2016,"40340","Rochester, MN Metro Area",173700,715,acs1
2017,"40340","Rochester, MN Metro Area",183600,735,acs1
2018,"40340","Rochester, MN Metro Area",212200,791,acs1
2019,"40340","Rochester, MN Metro Area",218000,797,acs1
2011,"39580","Raleigh, NC Metro Area",207800,695,acs1
2012,"39580","Raleigh, NC Metro Area",205500,693,acs1
2013,"39580","Raleigh, NC Metro Area",203600,741,acs1
2014,"39580","Raleigh, NC Metro Area",202900,777,acs1
2015,"39580","Raleigh, NC Metro Area",212900,791,acs1
2016,"39580","Raleigh, NC Metro Area",225000,830,acs1
2017,"39580","Raleigh, NC Metro Area",237700,878,acs1
2018,"39580","Raleigh, NC Metro Area",244500,918,acs1
2019,"39580","Raleigh, NC Metro Area",267600,968,acs1
2011,"39660","Rapid City, SD Metro Area",151700,611,acs1
2012,"39660","Rapid City, SD Metro Area",154000,601,acs1
2013,"39660","Rapid City, SD Metro Area",161600,684,acs1
2014,"39660","Rapid City, SD Metro Area",157500,655,acs1
2015,"39660","Rapid City, SD Metro Area",165200,668,acs1
2016,"39660","Rapid City, SD Metro Area",170300,708,acs1
2017,"39660","Rapid City, SD Metro Area",182500,643,acs1
2018,"39660","Rapid City, SD Metro Area",192700,696,acs1
2019,"39660","Rapid City, SD Metro Area",199600,701,acs1
2011,"40380","Rochester, NY Metro Area",127400,636,acs1
2012,"40380","Rochester, NY Metro Area",129200,647,acs1
2013,"40380","Rochester, NY Metro Area",130100,666,acs1
2014,"40380","Rochester, NY Metro Area",135700,681,acs1
