name,year,total_population,median_contract_rent,median_home_value,price_to_rent
"Los Angeles, California",2010,3831880,995,465700,39.003350083752096
"Los Angeles, California",2011,3797144,1015,452300,37.13464696223317
"Los Angeles, California",2012,3819708,1033,438300,35.35818005808325
"Los Angeles, California",2013,3857786,1049,421700,33.50015888147443
"Los Angeles, California",2014,3884340,1084,451200,34.68634686346864
"Los Angeles, California",2015,3928827,1108,505500,38.01895306859205
"Los Angeles, California",2016,3971896,1161,542100,38.910422049956935
"Los Angeles, California",2017,3976324,1202,593500,41.146699944536884
"Los Angeles, California",2018,3999742,1272,647000,42.38731656184486
"Los Angeles, California",2019,3990469,1355,682400,41.9680196801968
"Chicago, Illinois",2010,2850502,768,261600,28.38541666666667
"Chicago, Illinois",2011,2698831,783,244900,26.064282673478075
"Chicago, Illinois",2012,2707123,789,228300,24.1128010139417
"Chicago, Illinois",2013,2714844,811,211700,21.752979860254825
"Chicago, Illinois",2014,2718789,836,211400,21.072567783094094
"Chicago, Illinois",2015,2722407,848,219800,21.599842767295605
"Chicago, Illinois",2016,2720556,864,238500,23.003472222222214
"Chicago, Illinois",2017,2704965,916,243900,22.188864628820962
"Chicago, Illinois",2018,2716462,934,255900,22.831905781584574
"Chicago, Illinois",2019,2705988,956,271600,23.67503486750349
"Houston, Texas",2010,2260918,654,128000,16.309887869520896
"Houston, Texas",2011,2107208,659,124700,15.768841679312091
"Houston, Texas",2012,2145933,667,122100,15.25487256371814
"Houston, Texas",2013,2161686,687,124600,15.114022319262496
"Houston, Texas",2014,2197374,709,125700,14.774330042313116
"Houston, Texas",2015,2240796,733,134500,15.291041382446569
"Houston, Texas",2016,2298628,783,152200,16.198382290336312
"Houston, Texas",2017,2304388,833,163700,16.3765506202481
"Houston, Texas",2018,2313230,864,173600,16.743827160493826
"Houston, Texas",2019,2326090,895,179100,16.675977653631286
"Phoenix, Arizona",2010,1593660,714,182300,21.27684407096172
"Phoenix, Arizona",2011,1449481,691,158600,19.126869271587072
"Phoenix, Arizona",2012,1469484,685,137500,16.727493917274938
"Phoenix, Arizona",2013,1488759,713,140500,16.42122487143525
"Phoenix, Arizona",2014,1513350,723,162300,18.706777316735824
"Phoenix, Arizona",2015,1537045,734,178800,20.29972752043597
"Phoenix, Arizona",2016,1563001,778,200800,21.508140531276773
"Phoenix, Arizona",2017,1615041,804,213300,22.10820895522388
"Phoenix, Arizona",2018,1626085,851,231000,22.620446533490014
"Phoenix, Arizona",2019,1660272,894,249100,23.219612229679345
"Philadelphia, Pennsylvania",2010,1547297,666,150000,18.76876876876877
"Philadelphia, Pennsylvania",2011,1528306,683,142800,17.423133235724745
"Philadelphia, Pennsylvania",2012,1536471,691,142000,17.124939700916546
"Philadelphia, Pennsylvania",2013,1547607,716,142300,16.56191806331471
"Philadelphia, Pennsylvania",2014,1553165,746,136800,15.281501340482574
"Philadelphia, Pennsylvania",2015,1560297,760,148700,16.30482456140351
"Philadelphia, Pennsylvania",2016,1567442,777,150700,16.162591162591163
"Philadelphia, Pennsylvania",2017,1567872,808,154000,15.882838283828384
"Philadelphia, Pennsylvania",2018,1580863,812,166200,17.05665024630542
"Philadelphia, Pennsylvania",2019,1584138,857,167700,16.306884480746795
"San Diego, California",2010,1306228,1183,445500,31.382079459002533
"San Diego, California",2011,1311886,1189,439600,30.81020465377068
"San Diego, California",2012,1326183,1201,429200,29.78073827366084
"San Diego, California",2013,1338354,1229,430100,29.163276376457826
"San Diego, California",2014,1355885,1254,444200,29.518872939925572
"San Diego, California",2015,1381083,1346,489000,30.27488855869242
"San Diego, California",2016,1394907,1371,526900,32.026501337223436
"San Diego, California",2017,1406622,1466,567400,32.25329695316053
"San Diego, California",2018,1419488,1554,600300,32.19111969111969
"San Diego, California",2019,1425999,1622,654700,33.636457048910806
"Dallas, Texas",2010,1299590,647,135600,17.465224111282843
"Dallas, Texas",2011,1202797,646,131500,16.963364293085654
"Dallas, Texas",2012,1223378,661,122800,15.481593545133634
"Dallas, Texas",2013,1241108,680,133200,16.323529411764707
"Dallas, Texas",2014,1257676,707,127000,14.969354078264965
"Dallas, Texas",2015,1281031,724,140700,16.194751381215468
"Dallas, Texas",2016,1300082,756,152400,16.798941798941797
"Dallas, Texas",2017,1317942,805,157100,16.26293995859213
"Dallas, Texas",2018,1341103,865,190600,18.36223506743738
"Dallas, Texas",2019,1345076,915,209700,19.098360655737704
"San Jose, California",2010,964679,1283,566200,36.77578591842037
"San Jose, California",2011,949197,1290,558600,36.08527131782946
"San Jose, California",2012,967478,1297,540800,34.74685170907222
"San Jose, California",2013,982783,1395,537400,32.10274790919952
"San Jose, California",2014,998514,1446,599700,34.56085753803596
"San Jose, California",2015,1015796,1588,661600,34.71872376154492
"San Jose, California",2016,1026919,1691,717100,35.33904987187069
"San Jose, California",2017,1025373,1840,802000,36.322463768115945
"San Jose, California",2018,1035353,1995,854700,35.70175438596491
"San Jose, California",2019,1030119,2065,968500,39.08393866020985
"Macon, Georgia",2010,93248,428,89700,17.464953271028033
"Macon, Georgia",2011,92284,456,90500,16.53874269005848
"Macon, Georgia",2012,91969,468,90300,16.07905982905983
"Macon, Georgia",2013,91604,481,91800,15.904365904365905
"Macon, Georgia",2014,91316,488,87400,14.924863387978144
"Austin, Texas",2010,790593,744,214300,24.00313620071684
"Austin, Texas",2011,795518,748,214500,23.89705882352941
"Austin, Texas",2012,820601,760,217700,23.87061403508772
"Austin, Texas",2013,842595,834,222100,22.192246203037573
"Austin, Texas",2014,885415,863,234800,22.67284665894168
"Austin, Texas",2015,912798,913,255900,23.357064622124863
"Austin, Texas",2016,931840,964,282700,24.43810511756569
"Austin, Texas",2017,947897,1042,308500,24.672104926423543
"Austin, Texas",2018,950714,1115,332700,24.865470852017932
"Austin, Texas",2019,964243,1161,365500,26.23456790123457
"Jacksonville, Florida",2010,813518,730,166500,19.006849315068493
"Jacksonville, Florida",2011,823316,718,155000,17.98978644382544
"Jacksonville, Florida",2012,827909,704,141200,16.714015151515152
"Jacksonville, Florida",2013,836507,725,127500,14.655172413793109
"Jacksonville, Florida",2014,842588,769,129700,14.05504984828782
"Jacksonville, Florida",2015,853376,765,131600,14.335511982570806
"Jacksonville, Florida",2016,868031,800,146500,15.260416666666664
"Jacksonville, Florida",2017,880623,828,157800,15.881642512077295
"Jacksonville, Florida",2018,892064,839,177000,17.580452920143028
"Jacksonville, Florida",2019,903896,904,183700,16.933997050147493
"San Francisco, California",2010,815358,1312,751600,47.738821138211385
"San Francisco, California",2011,805463,1321,768000,48.448145344436035
"San Francisco, California",2012,812826,1361,719800,44.072985549840794
"San Francisco, California",2013,825863,1459,727600,41.55814484806945
"San Francisco, California",2014,837442,1440,778000,45.023148148148145
"San Francisco, California",2015,852469,1538,846800,45.88209796272215
"San Francisco, California",2016,864816,1609,941400,48.756991920447476
"San Francisco, California",2017,870887,1731,1024000,49.29713075293665
"San Francisco, California",2018,884363,1781,1104100,51.66105184353359
"San Francisco, California",2019,883305,1822,1195700,54.688071716062936
"Indianapolis, Indiana",2010,807640,585,120400,17.15099715099715
"Indianapolis, Indiana",2011,824199,592,118100,16.624436936936938
"Indianapolis, Indiana",2012,824232,606,116300,15.992849284928491
"Indianapolis, Indiana",2013,835806,621,117900,15.821256038647347
"Indianapolis, Indiana",2014,838425,634,116400,15.299684542586752
"Indianapolis, Indiana",2015,851353,635,117000,15.354330708661413
"Indianapolis, Indiana",2016,848423,645,123500,15.956072351421184
"Indianapolis, Indiana",2017,852506,680,128200,15.71078431372549
"Indianapolis, Indiana",2018,857386,701,137600,16.357584403233474
"Indianapolis, Indiana",2019,864131,712,142700,16.701779026217228
"Columbus, Ohio",2010,773021,613,138200,18.787384448069602
"Columbus, Ohio",2011,789939,613,137700,18.71941272430669
"Columbus, Ohio",2012,796014,626,127000,16.906283280085198
"Columbus, Ohio",2013,809890,637,127000,16.61433804290947
"Columbus, Ohio",2014,822762,654,123700,15.761977573904181
"Columbus, Ohio",2015,836293,681,129600,15.859030837004404
"Columbus, Ohio",2016,849067,706,137100,16.18271954674221
"Columbus, Ohio",2017,862643,724,140700,16.194751381215468
"Columbus, Ohio",2018,881901,754,151400,16.732979664014145
"Columbus, Ohio",2019,895877,794,159400,16.729638958858107
"Charlotte, North Carolina",2010,704417,692,175600,21.14643545279384
"Charlotte, North Carolina",2011,734418,679,177300,21.759941089837998
"Charlotte, North Carolina",2012,751074,710,167400,19.64788732394366
"Charlotte, North Carolina",2013,775208,737,168000,18.995929443690642
"Charlotte, North Carolina",2014,792849,763,165900,18.119266055045873
"Charlotte, North Carolina",2015,809974,803,174400,18.09879618098796
"Charlotte, North Carolina",2016,827121,820,188800,19.1869918699187
"Charlotte, North Carolina",2017,842029,897,201500,18.719806763285025
"Charlotte, North Carolina",2018,859052,943,215500,19.04383174266525
"Charlotte, North Carolina",2019,872506,988,230900,19.475371120107962
"Seattle, Washington",2010,616669,920,452000,40.94202898550725
"Seattle, Washington",2011,610710,925,441000,39.729729729729726
"Seattle, Washington",2012,620778,943,420400,37.15093672675857
"Seattle, Washington",2013,634541,971,415800,35.68486096807415
"Seattle, Washington",2014,652429,1087,436600,33.47132781355413
"Seattle, Washington",2015,668337,1124,473300,35.090450771055764
"Seattle, Washington",2016,684443,1259,530900,35.14032300767805
"Seattle, Washington",2017,704358,1360,606200,37.14460784313726
"Seattle, Washington",2018,724764,1435,673100,39.088269454123115
"Seattle, Washington",2019,744949,1588,758200,39.7879932829555
"Detroit, Michigan",2010,910848,562,67000,9.934756820877817
"Detroit, Michigan",2011,711910,533,53900,8.42714196372733
"Detroit, Michigan",2012,706640,547,50200,7.647775746496039
"Detroit, Michigan",2013,701524,539,39100,6.045145330859617
"Detroit, Michigan",2014,688740,548,36800,5.59610705596107
"Detroit, Michigan",2015,680281,557,41900,6.268701376421305
"Detroit, Michigan",2016,677124,566,42600,6.27208480565371
"Detroit, Michigan",2017,672829,576,43500,6.293402777777778
"Detroit, Michigan",2018,673103,611,50200,6.8466993998908885
"Detroit, Michigan",2019,672681,630,51600,6.825396825396825
"Denver, Colorado",2010,610345,752,244600,27.10549645390071
"Denver, Colorado",2011,604414,722,250100,28.86657433056325
"Denver, Colorado",2012,619968,772,247800,26.748704663212447
"Denver, Colorado",2013,634265,787,251200,26.59889877170691
"Denver, Colorado",2014,649495,831,263900,26.46409947853991
"Denver, Colorado",2015,663862,907,283100,26.01065784638001
"Denver, Colorado",2016,682545,1006,316700,26.23426110006627
"Denver, Colorado",2017,693060,1134,360900,26.521164021164022
"Denver, Colorado",2018,704621,1204,395100,27.34634551495017
"Denver, Colorado",2019,716492,1237,435100,29.311506332524925
"El Paso, Texas",2010,620440,529,115300,18.16320100819156
"El Paso, Texas",2011,652113,577,115200,16.63778162911612
"El Paso, Texas",2012,665577,597,120200,16.778336125069792
"El Paso, Texas",2013,672534,637,117600,15.384615384615385
"El Paso, Texas",2014,674438,660,116500,14.709595959595964
"El Paso, Texas",2015,679024,645,119200,15.400516795865633
"El Paso, Texas",2016,681136,659,118500,14.984825493171472
"El Paso, Texas",2017,683088,676,125300,15.446252465483234
"El Paso, Texas",2018,683583,712,127700,14.946161048689135
"El Paso, Texas",2019,682686,679,130900,16.06529209621993
"New York, New York",2010,8391881,987,517900,43.72678149273894
"New York, New York",2011,8184899,1022,504500,41.13666014350946
"New York, New York",2012,8244910,1063,490900,38.48385073690813
"New York, New York",2013,8336697,1094,478400,36.4411943936624
"New York, New York",2014,8405837,1125,488100,36.15555555555557
"New York, New York",2015,8491079,1160,496200,35.64655172413793
"New York, New York",2016,8550405,1199,538300,37.41312204614957
"New York, New York",2017,8537673,1235,569700,38.441295546558706
"New York, New York",2018,8622698,1263,609500,40.21509633148588
"New York, New York",2019,8398748,1337,645100,40.208177511842436
"Washington, District of Columbia",2010,599657,961,443700,38.47554630593133
"Washington, District of Columbia",2011,604453,1107,426900,32.13640469738031
"Washington, District of Columbia",2012,617996,1131,422400,31.122900088417328
"Washington, District of Columbia",2013,632323,1158,460700,33.15342544617156
"Washington, District of Columbia",2014,646449,1222,470500,32.08537915984724
"Washington, District of Columbia",2015,658893,1267,486900,32.024467245461715
"Washington, District of Columbia",2016,672228,1326,551300,34.64680744092509
"Washington, District of Columbia",2017,681170,1290,576100,37.21576227390181
"Washington, District of Columbia",2018,693972,1408,607200,35.9375
"Washington, District of Columbia",2019,702455,1421,617900,36.23621862538119
"Boston, Massachusetts",2010,645187,1075,375700,29.124031007751928
"Boston, Massachusetts",2011,621383,1117,369600,27.573858549686665
"Boston, Massachusetts",2012,624969,1118,364300,27.15414430530709
"Boston, Massachusetts",2013,637516,1122,370400,27.510398098633388
"Boston, Massachusetts",2014,644710,1154,381700,27.563547082611212
"Boston, Massachusetts",2015,656051,1201,413500,28.69136830419095
"Boston, Massachusetts",2016,669469,1277,453000,29.56147220046985
"Boston, Massachusetts",2017,672840,1369,495400,30.15583150718286
"Boston, Massachusetts",2018,683015,1431,540600,31.48148148148148
"Boston, Massachusetts",2019,695926,1548,575200,30.964685615848413
"Memphis, Tennessee",2010,676646,570,101400,14.824561403508772
"Memphis, Tennessee",2011,647870,578,100500,14.489619377162633
"Memphis, Tennessee",2012,652078,591,96000,13.536379018612521
"Memphis, Tennessee",2013,655141,594,92900,13.033108866442197
"Memphis, Tennessee",2014,653450,618,89400,12.055016181229773
"Memphis, Tennessee",2015,656876,624,91800,12.259615384615385
"Memphis, Tennessee",2016,655760,628,94400,12.526539278131635
"Memphis, Tennessee",2017,652752,642,96800,12.564901349948075
"Memphis, Tennessee",2018,652231,664,98700,12.387048192771086
"Memphis, Tennessee",2019,650632,660,103700,13.093434343434346
"Nashville-Davidson, Tennessee",2010,605466,655,166400,21.1704834605598
"Nashville-Davidson, Tennessee",2011,602618,639,170300,22.209181011997913
"Nashville-Davidson, Tennessee",2012,609637,656,161600,20.528455284552845
"Nashville-Davidson, Tennessee",2013,623255,682,164200,20.063538611925708
"Nashville-Davidson, Tennessee",2014,634465,706,163700,19.32247403210576
"Nashville-Davidson, Tennessee",2015,644008,737,169300,19.14292175486205
"Nashville-Davidson, Tennessee",2016,654596,790,185000,19.51476793248945
"Nashville-Davidson, Tennessee",2017,660393,841,210600,20.868014268727702
"Nashville-Davidson, Tennessee",2018,665967,928,246800,22.16235632183908
"Nashville-Davidson, Tennessee",2019,665498,965,274100,23.670120898100173
"Portland, Oregon",2010,566606,764,296100,32.29712041884817
"Portland, Oregon",2011,585429,741,289800,32.59109311740891
"Portland, Oregon",2012,595325,768,275500,29.89366319444445
"Portland, Oregon",2013,603650,798,268800,28.070175438596486
"Portland, Oregon",2014,611134,846,291400,28.703703703703702
"Portland, Oregon",2015,619445,888,311800,29.26051051051051
"Portland, Oregon",2016,632187,926,348300,31.344492440604753
"Portland, Oregon",2017,639635,1024,395100,32.1533203125
